"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319005786B","Store location - 0319005786B","","CS","Castello","Calle Del Mondo Novo","5786B","CS5786B","Calle Del Mondo Novo 5786B","","45.43695199","12.33988858"
"0319002625_","Store location - 0319002625_","","CS","Castello","Calle Del Forno","2625","CS2625","Calle Del Forno 2625","","45.43586046","12.34824251"
"0319005354_","Store location - 0319005354_","","CS","Castello","Calle Al Ponte De La Guerra","5354","CS5354","Calle Al Ponte De La Guerra 5354","","45.43644354","12.33959235"
"1600001494_","Store location - 1600001494_","","SM","San Marco","Salizada San Moise'","1494","SM1494","Salizada San Moise' 1494","","45.43331749","12.3365617"
"0319001476_","Store location - 0319001476_","","CS","Castello","Via Garibaldi","1476","CS1476","Via Garibaldi 1476","","45.4321861","12.35358186"
"0319001817_","Store location - 0319001817_","","CS","Castello","Via Garibaldi","1817","CS1817","Via Garibaldi 1817","","45.43252715","12.35505992"
"0319004900_","Store location - 0319004900_","","CS","Castello","Ruga Giuffa","4900","CS4900","Ruga Giuffa 4900","","45.43635399","12.34230106"
"0319005690_","Store location - 0319005690_","","CS","Castello","Salizada San Lio","5690","CS5690","Salizada San Lio 5690","","45.43732861","12.33908662"
"0319005475_","Store location - 0319005475_","","CS","Castello","Salizada San Lio","5475","CS5475","Salizada San Lio 5475","","45.43724953","12.33912445"
"0319003200_","Store location - 0319003200_","","CS","Castello","Campo De Le Gatte","3200","CS3200","Campo De Le Gatte 3200","","45.43645173","12.3476147"
"0319005705_","Store location - 0319005705_","","CS","Castello","Salizada San Lio","5705","CS5705","Salizada San Lio 5705","","45.43729516","12.33917665"
"0319000219A","Store location - 0319000219A","","CS","Castello","Calle Crosera","219A","CS219A","Calle Crosera 219A","","45.43285624","12.35750555"
"0319001780_","Store location - 0319001780_","","CS","Castello","Via Garibaldi","1780","CS1780","Via Garibaldi 1780","","45.43231779","12.35298708"
"0319003187_","Store location - 0319003187_","","CS","Castello","Salizada De Le Gatte","3187","CS3187","Salizada De Le Gatte 3187","","45.43675394","12.34751966"
"0319005545_","Store location - 0319005545_","","CS","Castello","Salizada San Lio","5545","CS5545","Salizada San Lio 5545","","45.43734737","12.33882769"
"0319006133_","Store location - 0319006133_","","CS","Castello","Calle Longa Santa Maria Formosa","6133","CS6133","Calle Longa Santa Maria Formosa 6133","","45.43750151","12.3413338"
"1600001761_","Store location - 1600001761_","","SM","San Marco","Sotoportego Del Spiron D'Oro","1761","SM1761","Sotoportego Del Spiron D'Oro 1761","","45.43450726","12.33598363"
"0319000187_","Store location - 0319000187_","","CS","Castello","Calle Rielo","187","CS187","Calle Rielo 187","","45.43329116","12.3572065"
"0319004933_","Store location - 0319004933_","","CS","Castello","Salizada Zorzi","4933","CS4933","Salizada Zorzi 4933","","45.43610131","12.34291909"
"0319004719A","Store location - 0319004719A","","CS","Castello","Calle San Provolo","4719A","CS4719A","Calle San Provolo 4719A","","45.43543605","12.34294195"
"1600001461_","Store location - 1600001461_","","SM","San Marco","Campo San Moise'","1461","SM1461","Campo San Moise' 1461","","45.43318535","12.33562722"
"1600001462_","Store location - 1600001462_","","SM","San Marco","Campo San Moise'","1462","SM1462","Campo San Moise' 1462","","45.433194","12.33568153"
"0319003146_","Store location - 0319003146_","","CS","Castello","Salizada San Francesco","3146","CS3146","Salizada San Francesco 3146","","45.43697511","12.34735147"
"0319003278_","Store location - 0319003278_","","CS","Castello","Calle Dei Furlani","3278","CS3278","Calle Dei Furlani 3278","","45.43612899","12.34645792"
"0319004755_","Store location - 0319004755_","","CS","Castello","Ruga Giuffa","4755","CS4755","Ruga Giuffa 4755","","45.43611122","12.34245347"
"0319006807_","Store location - 0319006807_","0319006806_","CS","Castello","Campo San Zanipolo","6807","CS6807","Campo San Zanipolo 6807","Castello Sotoportego Bressana 6806","45.43896914","12.3415833"
"0319005752_","Store location - 0319005752_","","CS","Castello","Calle Del Paradiso","5752","CS5752","Calle Del Paradiso 5752","","45.43739058","12.33977223"
