"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319005766_","Store location - 0319005766_","","CS","Castello","Salizada San Lio","5766","CS5766","Salizada San Lio 5766","","45.43708885","12.33953196"
"0319003270_","Store location - 0319003270_","","CS","Castello","Calle Dei Furlani","3270","CS3270","Calle Dei Furlani 3270","","45.43613616","12.34689828"
"0319001309_","Store location - 0319001309_","0319001309A","CS","Castello","Via Garibaldi","1309","CS1309","Via Garibaldi 1309","Castello Via Garibaldi 1309 A","45.43233033","12.35437875"
"0319001336_","Store location - 0319001336_","","CS","Castello","Via Garibaldi","1336","CS1336","Via Garibaldi 1336","","45.43230377","12.35404618"
"0319001666_","Store location - 0319001666_","","CS","Castello","Via Garibaldi","1666","CS1666","Via Garibaldi 1666","","45.43211563","12.35125743"
"0319005378_","Store location - 0319005378_","","CS","Castello","Calle Al Ponte De La Guerra","5378","CS5378","Calle Al Ponte De La Guerra 5378","","45.43653861","12.33971924"
"0319000493_","Store location - 0319000493_","","CS","Castello","Fondamenta San Gioachin","493","CS493","Fondamenta San Gioachin 493","","45.4325928","12.35662017"
"0319000772_","Store location - 0319000772_","","CS","Castello","Corte Del Solda'","772","CS772","Corte Del Solda' 772","","45.43096116","12.35675594"
"0319005690_","Store location - 0319005690_","","CS","Castello","Salizada San Lio","5690","CS5690","Salizada San Lio 5690","","45.43732861","12.33908662"
"1600001494_","Store location - 1600001494_","","SM","San Marco","Salizada San Moise'","1494","SM1494","Salizada San Moise' 1494","","45.43331749","12.3365617"
"0319006360A","Store location - 0319006360A","","CS","Castello","Barbaria De Le Tole","6360A","CS6360A","Barbaria De Le Tole 6360A","","45.43870768","12.34276955"
"0319000030_","Store location - 0319000030_","","CS","Castello","Fondamenta De Quintavalle","30","CS30","Fondamenta De Quintavalle 30","","45.43305094","12.35927481"
"0319000328_","Store location - 0319000328_","","CS","Castello","Campo De Ruga","328","CS328","Campo De Ruga 328","","45.43369249","12.35732075"
"0319001667_","Store location - 0319001667_","","CS","Castello","Via Garibaldi","1667","CS1667","Via Garibaldi 1667","","45.43212167","12.35131808"
"0319001782_","Store location - 0319001782_","","CS","Castello","Via Garibaldi","1782","CS1782","Via Garibaldi 1782","","45.43232623","12.3530581"
"0319001791_","Store location - 0319001791_","","CS","Castello","Via Garibaldi","1791","CS1791","Via Garibaldi 1791","","45.43239108","12.35351261"
"0319000956_","Store location - 0319000956_","","CS","Castello","Fondamenta S. Isepo","956","CS956","Fondamenta S. Isepo 956","","45.43051819","12.35622713"
"0319003184A","Store location - 0319003184A","","CS","Castello","Salizada De Le Gatte","3184A","CS3184A","Salizada De Le Gatte 3184A","","45.43681376","12.34749904"
"0319000159_","Store location - 0319000159_","","CS","Castello","Calle De Ruga","159","CS159","Calle De Ruga 159","","45.43340407","12.35719142"
"0319001058_","Store location - 0319001058_","","CS","Castello","Calle De Le Ancore","1058","CS1058","Calle De Le Ancore 1058","","45.43117579","12.35617665"
"0319001764_","Store location - 0319001764_","","CS","Castello","Via Garibaldi","1764","CS1764","Via Garibaldi 1764","","45.43224983","12.35223938"
"0319004826_","Store location - 0319004826_","","CS","Castello","Ruga Giuffa","4826","CS4826","Ruga Giuffa 4826","","45.43621481","12.34233395"
"0319006335_","Store location - 0319006335_","","CS","Castello","Campo San Zanipolo","6335","CS6335","Campo San Zanipolo 6335","","45.4388464","12.34210412"
"0319000942_","Store location - 0319000942_","","CS","Castello","Corte De La Cenere","942","CS942","Corte De La Cenere 942","","45.43091504","12.35632677"
"0319004703A","Store location - 0319004703A","","CS","Castello","Campo San Provolo","4703A","CS4703A","Campo San Provolo 4703A","","45.43515842","12.34266379"
"0319001699_","Store location - 0319001699_","0319001698A_","CS","Castello","Via Garibaldi","1699","CS1699","Via Garibaldi 1699","Castello Via Garibaldi 1698 A","45.43215503","12.35159004"
"0319005380_","Store location - 0319005380_","","CS","Castello","Calle De Le Bande","5380","CS5380","Calle De Le Bande 5380","","45.43657145","12.33978286"
"0319005728_","Store location - 0319005728_","0319005729_","CS","Castello","Salizada San Lio","5728","CS5728","Salizada San Lio 5728","Castello Salizada San Lio 5729","45.43718721","12.33938516"
"0319001785_","Store location - 0319001785_","","CS","Castello","Via Garibaldi","1785","CS1785","Via Garibaldi 1785","","45.4323464","12.35321793"
"0319005377_","Store location - 0319005377_","","CS","Castello","Calle Al Ponte De La Guerra","5377","CS5377","Calle Al Ponte De La Guerra 5377","","45.43651506","12.33967254"
"0319001696_","Store location - 0319001696_","","CS","Castello","Via Garibaldi","1696","CS1696","Via Garibaldi 1696","","45.43213583","12.35140255"
"0319000011R","Store location - 0319000011R","","CS","Castello","Calle Larga De Quintavalle","11R","CS11R","Calle Larga De Quintavalle 11R","","45.43314011","12.36040691"
"0319004920_","Store location - 0319004920_","0319004922_;0319004923_","CS","Castello","Ruga Giuffa","4920","CS4920","Ruga Giuffa 4920","Castello Ruga Giuffa 4922;Castello Ruga Giuffa 4923","45.43619213","12.34240354"
"0319004977B","Store location - 0319004977B","","CS","Castello","Fondamenta De L'Osmarin","4977B","CS4977B","Fondamenta De L'Osmarin 4977B","","45.43565463","12.34413047"
"0319006187_","Store location - 0319006187_","","CS","Castello","Calle Longa Santa Maria Formosa","6187","CS6187","Calle Longa Santa Maria Formosa 6187","","45.43763885","12.34162155"
"0319000313_","Store location - 0319000313_","","CS","Castello","Campo De Ruga","313","CS313","Campo De Ruga 313","","45.43355006","12.357237"
"0319004838_","Store location - 0319004838_","0319004840_","CS","Castello","Ruga Giuffa","4838","CS4838","Ruga Giuffa 4838","Castello Ruga Giuffa 4840","45.43658468","12.34202949"
"0319001639_","Store location - 0319001639_","","CS","Castello","Via Garibaldi","1639","CS1639","Via Garibaldi 1639","","45.43199092","12.35153014"
"0319005840_","Store location - 0319005840_","","CS","Castello","Campo Santa Maria Formosa","5840","CS5840","Campo Santa Maria Formosa 5840","","45.43716874","12.34056433"
"0319001040_","Store location - 0319001040_","","CS","Castello","Calle De Le Ancore","1040","CS1040","Calle De Le Ancore 1040","","45.43179688","12.35607853"
"0319006549B","Store location - 0319006549B","","CS","Castello","Campo De Santa Giustina Detto De Barbaria","6549B","CS6549B","Campo De Santa Giustina Detto De Barbaria 6549B","","45.43831735","12.34532388"
"0319001727_","Store location - 0319001727_","","CS","Castello","Via Garibaldi","1727","CS1727","Via Garibaldi 1727","","45.43217635","12.35172187"
"0319001736_","Store location - 0319001736_","","CS","Castello","Via Garibaldi","1736","CS1736","Via Garibaldi 1736","","45.43220062","12.35188319"
"0319004899_","Store location - 0319004899_","","CS","Castello","Ruga Giuffa","4899","CS4899","Ruga Giuffa 4899","","45.43638024","12.34228053"
"0319001079_","Store location - 0319001079_","","CS","Castello","Calle De Le Ancore","1079","CS1079","Calle De Le Ancore 1079","","45.43204473","12.35598909"
"0319005490_","Store location - 0319005490_","0319005491_","CS","Castello","Calle De La Malvasia","5490","CS5490","Calle De La Malvasia 5490","Castello Calle De La Malvasia 5491","45.43666567","12.33875743"
